1,1-14,0.01839,0.006388,0.8688,1.175,0.002783,0.798,1371,0.001314
2,2-13,3.837E-08,0.0000424,0.9077,0.3773,0.01576,0.626,29.08,0.006989
3,2-15,0.02232,0.01353,0.5403,0.1453,0.1365,0.6659,6.537,0.002666
4,2-16,0.005257,0.0004174,0.758,22.92,0.001578,0.7804,1876,0.01803
5,2-17,0.01092,0.00002075,0.8858,0.1222,0.04358,0.7239,31.22,0.001373
6,2-19,0.001285,0.002068,0.8133,2279,0.008452,0.6184,0.3724,0.0004402
7,2-20,0.001286,0.002068,0.8133,2279,0.008452,0.6184,0.3724,0.0004402
8,2-26,6.745E-16,0.00008529,0.8397,0.3262,0.2863,0.8404,3.736,0.005145
9,2-28,0.009918,0.01831,0.8766,41.2,0.00002237,0.9445,0.7692,0.001585
10,2-29,1.625E-08,0.03095,0.7853,14.66,0.001743,0.6422,3.782,0.02137
11,3-17,0.01571,0.00007733,0.8704,0.07608,0.002043,0.7761,3704,0.0009284
12,3-24,0.02379,0.00001363,0.9969,0.06686,0.00341,0.7986,481.3,0.003651
13,4-29,0.004622,0.0001099,0.8655,0.8282,0.02915,0.7505,33.39,0.001821
14,4-34,0.01684,0.003189,0.954,542.9,0.003811,0.854,51.88,0.004021
15,5-11,6.36E-17,7.74E-05,0.9003,1.21E+05,6.75E-05,0.9223,614.3,0.006771
16,5-16,1.93E-08,0.0004618,0.8268,7.18E+04,4.83E-05,0.8608,44.82,0.02435
17,5-17,0.04596,0.04505,0.7159,38.46,0.04119,0.6,0.06092,0.01119
18,5-18,0.007743,0.09174,0.6478,58.35,0.05883,0.7725,0.1139,0.001349
19,5-22,1.85E-08,0.0001824,0.8,4.266,0.001067,0.7091,38.25,0.01492
20,5-28,2.15E-09,1.36E-02,0.6935,879,0.002879,0.6525,0.6503,0.008399
21,5-29,0.01933,0.5935,0.4003,0.1526,0.6094,0.8875,3.678,0.005664
22,5-31,0.0151,0.0005823,0.867,2587,0.001711,0.9089,22.62,0.002454
